original_chinese_name,translated_name,wirescreen_name_en,last_retrieval_date,flags,government_ownership_fraction,historical_shareholders,investments,direct_shareholders,beneficial_owners,customers,suppliers,pdf_link
布尔津县窝依莫克镇宝勇家庭农场,Baoyong Family Farm,Funan Baoyong Family Farm,"December 25, 2023",,,,,CHEN Baoyong:1,CHEN Baoyong:1,,,/pdfs/Funan Baoyong Family Farm.pdf
布尔津县窝依莫克镇心国家庭农场,Xinguo Family Farm,Xie Xinguo Family Farm In Gushi County,"January 12, 2024",,,,,XIE Xinguo:1,XIE Xinguo:1,,,/pdfs/Xie Xinguo Family Farm In Gushi County.pdf
布尔津县老齐水产养殖场,Burqin County Laoqi Aquaculture Farm,,,,,,,,,,,
布尔津县额河特有冷水鱼繁育开发有限公司,Buerjin County Ehe Special Cold Water Fish Breeding and Development Co.,,,,,,,,,,,
布尔津县马军生态养殖有限责任公司,Burjin County Majun Ecological Breeding Co.,,,,,,,,,,,
布尔津县高玉玲家庭农场,Gao Yuling Family Farm,,,,,,,,,,,
布尔津县鸿泰渔业有限公司,Hongtai Fishery Co.,Rongcheng Hongtai Fishery Industry Company Limited,"January 26, 2024",,,"""LIU Xueren"" (2005-2010: 0.55001, 2011-2015: 0.55001, 2018-2019: 0.5, 2020-2025: 0.5); ""LIU Aidi"" (2016: 0.25, 2017: 0.25, 2011-2015: 0.25, 2018-2019: 0.25); ""MA Wen"" (2016: 0.15, 2017: 0.15, 2005-2010: 0.2, 2011-2015: 0.2, 2018-2019: 0.15); ""LIU Zhonghai"" (2017: 0.1, 2018-2019: 0.1)",Rongcheng Ningtai Aquatic Products Company Limited:0.75,LIU Xueren:0.5; LIU Aidi:0.25; MA Wen:0.15; LIU Zhonghai:0.1,LIU Xueren:0.5; LIU Aidi:0.25; MA Wen:0.15; LIU Zhonghai:0.1,,,/pdfs/Rongcheng Hongtai Fishery Industry Company Limited.pdf
帕米尔天泉有限公司,Pamir Tianquan Co.,Pamir Tianquan Company Limited,"December 01, 2024",,,"""Hong Kong Chuangwei (2000) Company Limited"" (2004-2013: 0.66143, 2015-2025: 1); ""ZHANG Jian"" (2003: 1, 2014: 1.00002, 2004-2013: 0.33858)",Pamir Tianquan Company Limited Beijing Sales Branch:1; Pamir Tianquan Company Limited Guangzhou Branch:1; Pamir Tianquan Guangdong Trading Company Limited:,Hong Kong Chuangwei (2000) Company Limited:1,Hong Kong Chuangwei (2000) Company Limited:1,,,/pdfs/Pamir Tianquan Company Limited.pdf
库尔勒余洋水产养殖场,Korla Yuyang Aquaculture Farm,,,,,,,,,,,
库尔勒包头湖农业发展有限责任公司,Korla Baotou Lake Agricultural Development Co.,Korla Baotou Lake Agricultural Development Company Limited,"February 24, 2024",Labor Issues - Agriculture; Government Ownership: 100.0%, 100.0%,"""Korla City Finance Bureau (Korla City State-Owned Assets Supervision And Administration Commission)"" (2013-2015: 1, 2019-2025: 1)",Korla Baotou Lake Cotton Processing Company Limited:1; Korla City Baotou Lake Farm Gin Factory:1; Bazhou Rongtai Shenghe Agricultural Production Materials Company Limited:0.15; Korla China Cotton Seed Industry Company Limited:0.15; Korla Puhang Agricultural Machinery Service Company Limited:0.1,Korla City Finance Bureau (Korla City State-Owned Assets Supervision And Administration Commission):1,Korla City Finance Bureau (Korla City State-Owned Assets Supervision And Administration Commission):1,,,/pdfs/Korla Baotou Lake Agricultural Development Company Limited.pdf
库尔勒大渔水产养殖有限公司,Korla Dafei Fishing and Aquaculture Co.,,,,,,,,,,,
库尔勒市余氏水产养殖有限公司,Korla Yushi Aquaculture Co.,,,,,,,,,,,
库尔勒市鱼多多水产养殖中心（个体工商户）,Korla Yuduoduo Aquaculture Center,,,,,,,,,,,
库尔勒市鲜满仓水产店（个体工商户）,Korla City Xianmancang Aquatic Products Store (Individual Industrial and Commercial Household),,,,,,,,,,,
库尔勒康尔绿水产养殖中心,Korla Kanger Green Aquaculture Center,,,,,,,,,,,
库尔勒煜水源水产养殖专业合作社,Korlayu Water Source Aquaculture Professional Cooperative,,,,,,,,,,,
库尔勒锐祥品鲜水产养殖有限公司,Korla Ruixiang Fresh Aquaculture Co.,,,,,,,,,,,
库尔勒鱼庆渔业有限公司,Korla Yuqing Fisheries Co.,,,,,,,,,,,
库尔勒鸿源顺新水产养殖有限公司,Korla Hongyuan Shunxin Aquaculture Co.,Korla Hongyuan Shunxin Aquaculture Company Limited,"December 22, 2023",,,,,LU Yongqiang:1,LU Yongqiang:1,,,/pdfs/Korla Hongyuan Shunxin Aquaculture Company Limited.pdf
库尔勒龙煜通水产养殖有限公司,Korla Longyutong Aquaculture Co.,,,,,,,,,,,
库车兴江养殖技术服务部,Kuqa Xingjiang Breeding Technical Service Department,,,,,,,,,,,
库车原赫水产养殖有限公司,Kuche Yuanhe Aquaculture Co.,,,,,,,,,,,
库车县宜牧养殖农民专业合作社,Kuqa County Yimu Breeding Farmers Professional Cooperative,,,,,,,,,,,
库车双生万福畜禽养殖农民专业合作社,Kuqa Shuangsheng Wanfu Livestock and Poultry Farmers Professional Cooperative,,,,,,,,,,,
库车喜万哥种养殖家庭农场,Kuqa Xiwange Breeding Family Farm,,,,,,,,,,,
库车安安故乡渔业农民专业合作社,Kuche An'an Hometown Fishery Farmers Professional Cooperative,,,,,,,,,,,
库车市刘强养鱼厂,Kuqa Liuqiang Fish Farm,,,,,,,,,,,
库车市可口奶养殖家庭农场,Kuche City Delicious Milk Farming Family Farm,,,,,,,,,,,
库车市立红养鱼厂,Kuqa Municipal Red Fish Farm,,,,,,,,,,,
库车市老王养鱼厂,Kuqa Laowang Fish Farm,,,,,,,,,,,
库车市聚福地水产养殖厂,Kuqa Jufudi Aquaculture Factory,,,,,,,,,,,
库车市荣升养殖家庭农场,Rongsheng Livestock Family Farm in Kuche City,,,,,,,,,,,
库车市香满园养殖家庭农场,Xiangmanyuan Family Farm in Kuche City,,,,,,,,,,,
库车市鱼满塘水产养殖厂,Kuqa Yumantang Aquaculture Factory,,,,,,,,,,,
库车森满农业专业合作社,Kuqa Senman Agricultural Professional Cooperative,,,,,,,,,,,
库车水务投资集团有限公司,Kuqa Water Investment Group Co.,Kuqa Water Investment Group Company Limited,"April 14, 2023",,,,,,,,,/pdfs/Kuqa Water Investment Group Company Limited.pdf
库车洋安畜禽养殖家庭农场,Kuqa Yang'an Livestock and Poultry Breeding Family Farm,,,,,,,,,,,
库车赛贺热水产品养殖农民专业合作社,Kuqa Saihe Hot Water Products Farmers’ Professional Cooperative,,,,,,,,,,,
托克逊县乐渔鲜生水产商行,Toksun County Leyu Fresh Aquatic Products Company,,,,,,,,,,,
托克逊金穆生态养殖农民专业合作社,Toksunjinmu Ecological Breeding Farmers Professional Cooperative,,,,,,,,,,,
托里县三宝水产养殖有限公司,Tuoli County Sanbao Aquaculture Co.,,,,,,,,,,,
拜城县保明牧业有限公司,Baicheng County Baoming Animal Husbandry Co.,,,,,,,,,,,
拜城县康其乡新之路养殖农民专业合作社,Baicheng County Kangqi Township Xinlu Breeding Farmers Professional Cooperative,,,,,,,,,,,
拜城县玉科萨力养殖农民专业合作社,Baicheng County Jade Kesali Breeding Farmers Professional Cooperative,,,,,,,,,,,
拜城县盐山养殖农民专业合作社,Baicheng County Salt Mountain Breeding Farmers Professional Cooperative,,,,,,,,,,,
新市区六十户乡霞之光水产养殖场,Xia Zhiguang Aquaculture Farm,,,,,,,,,,,
新星市海蓝水产养殖有限责任公司,Xinxing Hailan Aquaculture Co.,,,,,,,,,,,
新星市润汇鑫水产养殖有限公司,Xinxing Runhuixin Aquaculture Co.,,,,,,,,,,,
新星市疆湖水产养殖有限公司,Xinxing Jianghu Aquaculture Co.,,,,,,,,,,,
新星市都市鱼塘,Xinxing City Urban Fish Pond,,,,,,,,,,,
新源县伊甸特色养殖专业合作社,Xinyuan County Eden Specialty Breeding Professional Cooperative,Xinyuan County Eden Specialty Breeding Professional Cooperative,"December 24, 2023",,,,,MAO Jiangping:; ZHU Qingyun:; YANG Junyi:; LIU Zhongrong:; GUO Sanlong:; YANG Tao:,,,,/pdfs/Xinyuan County Eden Specialty Breeding Professional Cooperative.pdf
新源县兴民农业发展有限公司,Xinyuan County Xingmin Agricultural Development Co.,,,,,,,,,,,
新源县台牧生态农场,Xinyuan County Taimu Ecological Farm,,,,,,,,,,,
新源县四灵泉冷水鱼家庭牧场,Xinyuan County Silingquan Cold Water Fish Family Ranch,,,,,,,,,,,
新源县普禄科生态农业有限公司,Xinyuan County Pluske Ecological Agriculture Co.,,,,,,,,,,,
新源县湖兴水产养殖农场（个体工商户）,Xinyuan County Huxing Aquaculture Farm (Individual Industrial and Commercial Household),,,,,,,,,,,
新源县源升恰普河水产养殖厂（个体工商户）,Xinyuan County Yuansheng Qiapu River Aquaculture Factory,,,,,,,,,,,
新源县闻香阁家庭农场有限公司,Xinyuan County Wenxiangge Family Farm Co.,,,,,,,,,,,
新源县顺民淡水水产养殖有限公司,Shunmin Freshwater Aquaculture Co.,,,,,,,,,,,
新源县鲜之隆养殖专业合作社,Xinyuan County Xianzhilong Breeding Professional Cooperative,,,,,,,,,,,
新源县黑正平家庭畜牧养殖基地,Xinyuan County Heizhengping Family Animal Husbandry Breeding Base,,,,,,,,,,,
新疆一鸵农业开发有限公司,Xinjiang Yishi Agricultural Development Co.,,,,,,,,,,,
新疆万佳和生态养殖农民专业合作社,Xinjiang Wanjiahe Ecological Breeding Farmers Professional Cooperative,,,,,,,,,,,
新疆三合水产养殖有限公司,Xinjiang Sanhe Aquaculture Co.,Xinjiang Sanhe Aquaculture Company Limited,"December 20, 2023",,,,,DUAN Yaozu:0.998; QIU Baiwen:0.002,DUAN Yaozu:0.998; QIU Baiwen:0.002,,,/pdfs/Xinjiang Sanhe Aquaculture Company Limited.pdf
新疆三文渔业有限公司,Xinjiang Sanwen Fisheries Co.,,,,,,,,,,,
新疆中泰兴苇生物科技有限公司,Xinjiang Zhongtai Xingwei Biotechnology Co.,,,,,,,,,,,
新疆中渔生态养殖有限责任公司,Xinjiang Zhongyu Ecological Aquaculture Co.,,,,,,,,,,,
新疆中矿天河生物科技有限公司,Xinjiang Zhongkuang Tianhe Biotechnology Co.,,,,,,,,,,,
新疆丰和水产品养殖专业合作社,Xinjiang Fenghe Aquatic Products Breeding Professional Cooperative,,,,,,,,,,,
新疆丰泽科技水产有限责任公司,Xinjiang Fengze Technology Aquatic Products Co.,,,,,,,,,,,
新疆乌河渔业有限公司,Xinjiang Wu River Fisheries Co.,,,,,,,,,,,
新疆五两红大闸蟹养殖服务有限公司,Xinjiang Wushuanghong Hairy Crab Breeding Service Co.,,,,,,,,,,,
新疆亿盛达农业综合开发有限公司,Xinjiang Yishengda Agricultural Comprehensive Development Co.,,,,,,,,,,,
新疆伊河鲟业科技有限公司,Xinjiang Yihe Yiye Technology Co.,,,,,,,,,,,
新疆众泰联合养殖服务有限公司,Xinjiang Zhongtai United Breeding Service Co.,,,,,,,,,,,
新疆优正鲜水产养殖有限公司,Xinjiang Youzheng Fresh Aquaculture Co.,,,,,,,,,,,
新疆优美生态水产有限公司,Xinjiang Beautiful Ecological Aquatic Products Co.,,,,,,,,,,,
新疆余生农业科技有限公司,Xinjiang Yisheng Agricultural Technology Co.,,,,,,,,,,,
新疆佳信食品有限公司,Xinjiang Jiaxin Food Co.,Xinjiang Jiaxin Food Company Limited,"December 09, 2023",,,"""JIANG Wenge"" (2016-2021: 0.51); ""LIU Wu"" (2016-2021: 0.49)",,Tianjin Fujiang Food Company Limited:0.52; WANG Mei:0.24; JIANG Wenge:0.24,Tianjin Shihaomei Biological Technology Company Limited:0.27; WANG Mei:0.24; JIANG Wenge:0.24; WANG Yanhui:0.125; LI Yan:0.042; ZHOU Keke:0.042; WANG Juan:0.026; SHI Fang:0.016,,,/pdfs/Xinjiang Jiaxin Food Company Limited.pdf
新疆佳益泽畜牧科技有限公司,Xinjiang Jiayize Animal Husbandry Technology Co.,Xinjiang Jiayize Animal Husbandry Technology Company Limited,"December 10, 2023",,,"""CHEN Mingpan"" (2018-2025: 0.78); ""ZHANG Juan"" (2018-2025: 0.22)",,CHEN Mingpan:0.78; ZHANG Juan:0.22,CHEN Mingpan:0.78; ZHANG Juan:0.22,,,/pdfs/Xinjiang Jiayize Animal Husbandry Technology Company Limited.pdf
新疆兆旺农业有限公司,Xinjiang Zhaowang Agriculture Co.,,,,,,,,,,,
新疆兆源渔业发展有限公司,Xinjiang Zhaoyuan Fishery Development Co.,,,,,,,,,,,
新疆克兰源渔业有限责任公司,Xinjiang KLanyuan fishery co.,,,,,,,,,,,
新疆八六一一水产苗种繁育有限公司,Xinjiang 8611 Aquatic Seed Breeding Co.,,,,,,,,,,,
新疆兵团建材(集团)有限公司,Bingtuan (Xinjiang Production and Construction Corps),,,,,,,,,,,
新疆兵海水产有限公司,Xinjiang Binghai Products Co.,,,,,,,,,,,
新疆农富汇生态养殖有限公司,Xinjiang Nongfuhui Ecological Breeding Co.,,,,,,,,,,,
新疆农高东年渔业有限公司,Xinjiang Nonggao Dongnian Fishery Co.,,,,,,,,,,,
新疆冰川古道渔业有限公司,Xinjiang Glacier Ancient Road Fishery Co.,,,,,,,,,,,
新疆冰砜碧华渔业有限公司,Xinjiang Bingsulfone Bihua Fishery Co.,,,,,,,,,,,
新疆准东经济技术开发区广源润合水产禽类养殖农场,Xinjiang Zhundong Economic and Technological Development Zone Guangyuan Runhe Aquatic Poultry Farm,,,,,,,,,,,
新疆刀郎庄园新农业集团股份有限公司,Xinjiang Daolang Manor New Agricultural Group Co.,,,,,,,,,,,
新疆创景农牧发展有限责任公司,Xinjiang Chuangjing Agriculture and Animal Husbandry Development Co.,,,,,,,,,,,
新疆前海天昆生物科技股份有限公司,Xinjiang Qianhai Tiankun Biotechnology Co.,Xinjiang Qianhai Tiankun Biotechnology Company Limited Caohu Branch,"August 19, 2024",Closed by owner; State Controlled Enterprise; CBP Withhold Release Orders (WRO) and Findings List Ownership: 100.0%; Labor Issues - Food Processing Ownership: 100.0%; Party Affiliated Ownership: 100.0%; U.S. Export Restricted - Entity List Ownership: 100.0%; U.S. Export Restricted - SDN Ownership: 100.0%; U.S. Government Procurement Restricted Ownership: 100.0%; UFLPA Entity List Ownership: 100.0%; Xinjiang Supply Chain Exposure Ownership: 100.0%,,,,Xinjiang Qianhai Oil Technology Company Limited:1,Xinjiang Production and Construction Corps:1,,,/pdfs/Xinjiang Qianhai Tiankun Biotechnology Company Limited Caohu Branch.pdf
新疆北园春众联畜牧科技有限责任公司,Xinjiang Beiyuanchun Zhonglian Animal Husbandry Technology Co.,,,,,,,,,,,
新疆北园春额河渔业科技有限责任公司,Xinjiang Beiyuan Chun'ehe Fishery Technology Co.,,,,,,,,,,,
新疆北屯额尔齐斯河特种鱼开发有限责任公司,Xinjiang Beitun Eris River Special Fish Development Co.,,,,,,,,,,,
新疆北沙滩水产养殖有限公司,Xinjiang Beisan Beach Aquaculture Co.,,,,,,,,,,,
新疆博创胜达信息科技有限公司,Xinjiang Bochuang Shengda Information Technology Co.,,,,,,,,,,,
新疆博恒牧业发展有限公司,Xinjiang Boheng Animal Husbandry Development Co.,,,,,,,,,,,
新疆博畅水产养殖有限公司,Xinjiang Bochang Aquaculture Co.,,,,,,,,,,,
新疆双河市汇龙泉生态渔业有限责任公司,Xinjiang Shuanghe Huilongquan Ecological Fisheries Co.,,,,,,,,,,,
新疆古再丽服饰有限公司,Xinjiang Gu Zai Li Clothing Co.,,,,,,,,,,,
新疆古水泉渔业有限公司,Xinjiang Gushuiquan Fishery Co.,,,,,,,,,,,
新疆古耕榛子苗木农民专业合作社,Xinjiang Ancient Hazelnut Seedling Farmers’ Professional Cooperative,,,,,,,,,,,
新疆叮咚泉渔业有限公司,Xinjiang Dingdongquan Fishery Co.,,,,,,,,,,,
新疆合和水产养殖技术开发有限责任公司,Xinjiang Hehe Aquaculture Technology Development Co.,,,,,,,,,,,
新疆吉康盛畜禽水产开发有限责任公司,Xinjiang Jikangsheng Livestock and Poultry Aquaculture Development Co.,,,,,,,,,,,
新疆同利得生态科技有限公司,Xinjiang Tongli Ecological Technology Co.,,,,,,,,,,,
新疆同润水产养殖有限公司,Xinjiang Tongrun Aquaculture Co.,Xinjiang Tongrun Aquaculture Company Limited,"March 12, 2024",,,,,LIU Lisheng:0.41; WANG Yong:0.4; YANG Junming:0.19,LIU Lisheng:0.41; WANG Yong:0.4; YANG Junming:0.19,,,/pdfs/Xinjiang Tongrun Aquaculture Company Limited.pdf
新疆启力牧原农业科技有限责任公司,Xinjiang Qili Muyuan Agricultural Technology Co.,,,,,,,,,,,
新疆味之恋食品发展有限公司,Xinjiang Weizhilian Food Development Co.,,,,,,,,,,,
新疆和丰水产养殖有限责任公司,Xinjiang Hefeng Aquaculture Co.,,,,,,,,,,,
新疆品沃食品科技有限公司,Xinjiang Pinwo Food Technology Co.,Xinjiang Pinwo Food Technology Company Limited,"December 09, 2023",,,"""ZHANG Ning"" (2015-2016: 1, 2017-2021: 1, 2022-2025: 0.5); ""XIE Wei"" (2015-2016: 0.3, 2017-2021: 0.3, 2022-2025: 0.3); ""LIN Ketong"" (2015-2016: 0.05, 2017-2021: 0.05, 2022-2025: 0.05); ""LIU Qianghua"" (2015-2016: 0.025); ""YANG Chenglin"" (2015-2016: 0.025, 2017-2021: 0.025, 2022-2025: 0.025); ""LIU Qianghua"" (2015-2016: 0.025, 2017-2021: 0.025, 2022-2025: 0.025); ""ZHANG Haofeng"" (2015-2016: 0.025, 2017-2021: 0.025, 2022-2025: 0.025); ""GAO Weixin"" (2015-2016: 0.025, 2017-2021: 0.025, 2022-2025: 0.025); ""KONG Dewei"" (2015-2016: 0.025, 2017-2021: 0.025, 2022-2025: 0.025); ""KONG Lingqiang"" (2015-2016: 0.025, 2017-2021: 0.025, 2022-2025: 0.025)",,ZHANG Ning:0.5; XIE Wei:0.3; LIN Ketong:0.05; LIU Qianghua:0.025; KONG Dewei:0.025; YANG Chenglin:0.025; ZHANG Haofeng:0.025; GAO Weixin:0.025; KONG Lingqiang:0.025,ZHANG Ning:0.5; XIE Wei:0.3; LIN Ketong:0.05; YANG Chenglin:0.025; KONG Lingqiang:0.025; GAO Weixin:0.025; LIU Qianghua:0.025; ZHANG Haofeng:0.025; KONG Dewei:0.025,,,/pdfs/Xinjiang Pinwo Food Technology Company Limited.pdf
新疆哈密瓜乡农业集团股份有限公司,Xinjiang Hami Melon Township Agricultural Group Co.,Xinjiang Hami Melon Township Agricultural Group Company Limited Ninth Branch,"December 14, 2024",Closed by owner; State Controlled Enterprise; CBP Withhold Release Orders (WRO) and Findings List Ownership: 100.0%; Labor Issues - Agriculture Ownership: 100.0%; Party Affiliated Ownership: 100.0%; U.S. Export Restricted - Entity List Ownership: 100.0%; U.S. Export Restricted - SDN Ownership: 100.0%; U.S. Government Procurement Restricted Ownership: 100.0%; UFLPA Entity List Ownership: 100.0%; Xinjiang Supply Chain Exposure Ownership: 100.0%,,,,XINJIANG HAMI MELON-HOMETOWN FRUIT INDUSTRY LLC.:1,Xinjiang Production and Construction Corps:1,,,/pdfs/Xinjiang Hami Melon Township Agricultural Group Company Limited Ninth Branch.pdf
新疆域圣海渔业有限公司,Xinjiang Shenghai Fishery Co.,,,,,,,,,,,
新疆域源众鑫水产科技有限公司,Xinjiang Yuyuan Zhongxin Aquatic Science and Technology Co.,,,,,,,,,,,
新疆培言兴业水产养殖有限公司,Xinjiang Peiyan Xingye Aquaculture Co.,,,,,,,,,,,
新疆大河泉冷水鱼有限公司,Xinjiang Dahequan Cold Water Fish Co.,Xinjiang Dahequan Cold Water Fish Company Limited,"January 10, 2024",Labor Issues - Agriculture Ownership: 51.0%; Government Ownership: 10.2%; Central State-Owned Enterprise Ownership: 5.1%; Labor Issues - Food Processing Ownership: 4.8%, 10.2%,,,Xinjiang Dacao Lake Cold Water Fish Company Limited:1,JIN Changwei:0.49; MA Zhuang:0.314; WANG Rong:0.094; State-owned Assets Supervision and Administration Commission of the State Council (SASAC):0.051; Bortala Mongolian Autonomous Prefecture People's Government State-Owned Assets Supervision And Administration Commission:0.048; Chinese Agriculture Key Construction Fund Company Limited:0.003,,,/pdfs/Xinjiang Dahequan Cold Water Fish Company Limited.pdf
新疆大漠水产养殖有限公司,Xinjiang Desert Aquaculture Co.,,,,,,,,,,,
新疆大琨水产养殖有限责任公司,Xinjiang Dayun Aquaculture Co.,,,,,,,,,,,
新疆大草湖冷水鱼有限公司,Xinjiang Dacaohu Cold Water Fish Co.,,,,,,,,,,,
新疆天宝康地生物技术有限公司,Xinjiang Tianbao Kangdi Biotechnology Co.,Xinjiang Tianbaokangdi Biotechnology Company Limited,"December 01, 2023",,,,,,,,,/pdfs/Xinjiang Tianbaokangdi Biotechnology Company Limited.pdf
新疆天莱香牛食品有限责任公司,Xinjiang Tianlai Xiangniu Food Co.,Xinjiang Tianlai Xiangniu Food Company Limited,"November 21, 2024",Labor Issues - Food Processing; Labor Issues - Agriculture Ownership: 100.0%; Labor Issues Ownership: 15.0%; Government Ownership: 4.2%; Xinjiang Supply Chain Exposure Ownership: 2.4%; China Rich List Ownership: 8.5%, 4.2%,"""Xinjiang Tianlai Agriculture And Animal Husbandry Group Company Limited"" (2019: 0.2, 2016-2017: 0.2, 2020-2025: 0.88); ""Bortala Mongolian Bosheng Maize Fine Chemical Company Limited"" (2018: 0.12, 2019: 0.12, 2016-2017: 0.12, 2020-2025: 0.12); ""Xinjiang Bosheng Wine Brewing Company Limited"" (2016-2017: 0.12)",Tianlai Xiangniu (Shanghai) Food Company Limited:1,Xinjiang Tianlai Agriculture And Animal Husbandry Group Company Limited:0.88; Bortala Mongolian Bosheng Maize Fine Chemical Company Limited:0.12,"WANG Zongye:0.312; ZHANG Sheng:0.269; SUN Guangxin:0.075; HUANG Jianling:0.073; Shengjing Bank Co., Ltd.:0.047; HUANG Jingyi:0.047; Bole Benfu No. 1 Equity Investment Partnership (Limited Partnership):0.021; Bortala Mongolian Autonomous Prefecture People's Government State-Owned Assets Supervision And Administration Commission:0.019; China Evergrande Group:0.013; ZHANG Ping:0.011; LU Ping:0.01; WANG Xiaoxuan:0.009; SUN Ye:0.009; State Council:0.008; Bole Benda Equity Investment Partnership (Limited Partnership):0.008; Bole Pentium Equity Investment Partnership (Limited Partnership):0.008; Cosmos Group Company Limited:0.007; WANG Chunli:0.007; CHENG Chuan:0.005; GUO Niankun:0.005; LV Zhijian:0.004; State Administration Of Foreign Exchange Investment Center:0.003; WANG Yi:0.002; TAN Shulong:0.002; SUN Qian:0.002; BAI Shan:0.002; TU Qiang:0.002; LI Xianlin:0.002; SHANG Haolei:0.002; CAO Bo:0.001",Xinjiang Tianlai Xiangniu Food Company Limited:Chilled Beef Product:75.5:2024-01-16; Xinjiang Tianlai Xiangniu Food Company Limited:Chilled Beef Product:251784:2022-01-20; Xinjiang Tianlai Xiangniu Food Company Limited:Beef combination package:865000:2021-02-01,,/pdfs/Xinjiang Tianlai Xiangniu Food Company Limited.pdf
新疆天蕴有机农业有限公司,Xijiang Tianyun Organic Agriculture Co.,,,,,,,,,,,
新疆天露南山渔业有限责任公司,Xinjiang Tianlu Nanshan Fisheries Co.,,,,,,,,,,,
新疆天顺渔业发展有限公司,Xinjiang Tianshun Fishery Development Co.,,,,,,,,,,,
新疆奔腾生物技术有限公司,Xinjiang Pentium Biotechnology Co.,,,,,,,,,,,
新疆奥森畜牧高科技开发有限公司,Xinjiang Aosen Animal Husbandry High tech Development Co.,Xinjiang Aosen Animal Husbandry High-Tech Development Company Limited,"April 11, 2023",Labor Issues - Agriculture,,"""ZHENG Fucang"" (2021-2025: 0.6); ""JIANG Songlin"" (2021-2025: 0.3); ""DING Duoqiang"" (2021-2025: 0.1)",,ZHENG Fucang:0.6; JIANG Songlin:0.3; DING Duoqiang:0.1,ZHENG Fucang:0.6; JIANG Songlin:0.3; DING Duoqiang:0.1,,,/pdfs/Xinjiang Aosen Animal Husbandry High-Tech Development Company Limited.pdf
新疆婚匠婚礼策划有限公司,Xinjiang wedding craftsman wedding planning Co.,,,,,,,,,,,
新疆宁水鳞湾农业科技有限公司,Xinjiang Ningshui Linwan Agricultural Technology Co.,,,,,,,,,,,
新疆宇飞国际渔业有限公司,Xinjiang Yufei International Fishery Co.,Xinjiang Yufei International Fishery Company Limited,"December 14, 2024",Labor Issues - Agriculture; Government Ownership: 7.9%, 7.9%,"""Karamay City Sheep Trading Company"" (2018-2019: 0.92111, 2022-2025: 0.92111); ""Karamay State-Owned Assets Investment Management Company Limited"" (2017: 0.8205, 2020: 0.03868, 2018-2019: 0.03868); ""CHEN Baoliang"" (2016: 0.09768, 2021: 0.09768, 2014-2015: 0.13675); ""CHEN Shenghua"" (2016: 0.05861, 2014-2015: 0.05861); ""FAN Hao"" (2016: 0.03908); ""Karamay Jusheng Investment Company Limited"" (2020: 0.04023, 2018-2019: 0.04023)",Xinjiang Guxun Network Technology Company Limited:1; Xinjiang Haiyou Import And Export Trade Company Limited:1; Xinjiang Yufei Biological Engineering Technology Company Limited:1; Xinjiang Yufei Ocean Brand Management Company Limited:1; Xinjiang Yufei Youxian Brand Management Company Limited:1,Karamay City Sheep Trading Company:0.92111; Karamay Jusheng Investment Company Limited:0.04023; Karamay Qicheng State-Owned Assets Management Company Limited:0.03868,CHEN Baoliang:0.738; YAO Nian:0.092; Karamay State-owned Assets Supervision and Administration Commission:0.079; CAI Wenbo:0.028; WU Xiaoquan:0.018; LIU Haibin:0.009; LI Hai:0.009; LI Xiang:0.009; LI Tiedao:0.009; QIAO Changqi:0.008,,,/pdfs/Xinjiang Yufei International Fishery Company Limited.pdf
新疆富喀农业科技有限公司,Xinjiang Fuka Agricultural Technology Co.,,,,,,,,,,,
新疆富润泽洋开发管理有限公司,Xinjiang Furun Zeyang Development Management Co.,,,,,,,,,,,
新疆富隆农业开发有限公司,Xinjiang Fulong Agricultural Development Co.,Xinjiang Fulong Agricultural Development Company Limited,"October 04, 2024",,,"""PENG Sibo"" (2023-2025: 1)",,PENG Sibo:1,PENG Sibo:1,,,/pdfs/Xinjiang Fulong Agricultural Development Company Limited.pdf
新疆封马实业有限公司,Xinjiang Fengma Industrial Co.,Xinjiang Fengma Industrial Company Limited,"October 27, 2024",,,,,188hui (Hainan) Technology Company Limited:0.51; ZHU Jianhua:0.1; WANG Feinuo:0.1; LIU Yonghui:0.1; ZHU Hebin:0.1; GUO Xufeng:0.09,GUO Xufeng:0.457; ZHU Jianhua:0.1; LIU Yonghui:0.1; WANG Feinuo:0.1; ZHU Hebin:0.1; MAI Shiqing:0.051; ZHANG Zhiming:0.051; KONG Xiaolong:0.02; LIAO Shufeng:0.01; HU Lidui:0.01,,,/pdfs/Xinjiang Fengma Industrial Company Limited.pdf
新疆将军湖水产养殖有限公司,Xinjiang Jiangjun Lake Aquaculture Co.,,,,,,,,,,,
新疆小萌农业科技发展有限公司,Xinjiang Xiaomeng Agricultural Science and Technology Development Co.,Xinjiang Xiaomeng Agricultural Science And Technology Development Company Limited,"October 04, 2024",,,,,Nanjing Yixiaomeng Network Technology Company Limited:0.91; SUN Jie:0.05; :0.04,SHEN Shuming:0.551; SUN Jie:0.12; GAO Changqin:0.12; HUI Mingzhu:0.12; SUN Jie:0.05; :0.04,,,/pdfs/Xinjiang Xiaomeng Agricultural Science And Technology Development Company Limited.pdf
新疆崇德裕水产养殖有限公司,Xinjiang Chongdeyu Aquaculture Co.,,,,,,,,,,,
新疆巧格兰畜牧屠宰加工有限公司,Xinjiang Qiaogulan Livestock Slaughtering and Processing Co.,,,,,,,,,,,
新疆康原源生态农业科技有限责任公司,Xinjiang Kangyuan Ecological Agricultural Technology Co.,,,,,,,,,,,
