original_chinese_name,translated_name,location_eng,wirescreen_name_en,last_retrieval_date,flags,government_ownership_fraction,historical_shareholders,investments,direct_shareholders,beneficial_owners,customers,suppliers,pdf_link
天津市德田渔业专业合作社,Tianjin Detian Fisheries Professional Cooperative,Tianjin,,,,,,,,,,,
天津鸿腾水产科技发展有限公司,"Tianjin Hongteng Aquatic Technology Development Co., Ltd. (affiliated to aquaculture farms)",Tianjin,,,,,,,,,,,
秦皇岛银泰水产养殖有限公司,"Qinhuangdao Yintai Aquaculture Co., Ltd",Hebei,,,,,,,,,,,
秦皇岛疆海水产养殖有限公司,"Qinhuangdao Jianghai Aquaculture Co., Ltd",Hebei,,,,,,,,,,,
玉田县鑫龙养殖专业合作社,Yutian County Xinlong Breeding Professional Cooperative,Hebei,,,,,,,,,,,
黄骅市升瑞水产育苗养殖有限公司,"Huanghua Shengrui Aquaculture Breeding Co., Ltd",Hebei,,,,,,,,,,,
黄骅市大辛堡海洋育苗厂,Huanghua City Dashenbao Marine Nursery Factory,Hebei,,,,,,,,,,,
南皮县乐然家庭农场,"Leen Family Farm, Nanpi County",Hebei,,,,,,,,,,,
霸州市柒零年代种养殖专业合作社,"Baizhou City, the Zero of the Zero Pymalisa Professional Cooperative",Hebei,,,,,,,,,,,
平山县凤龙养鱼场,Fenglong Fish Farm in Pingshan County,Hebei,,,,,,,,,,,
平山县郎咸玲冷水鱼养殖场,Pingshan County Lang Xianling Cold Fish Farming Farm,Hebei,,,,,,,,,,,
鹿泉区万祥家庭农场,Luquan District Wanxiang Family Farm,Hebei,,,,,,,,,,,
河北黄滹水产养殖科技有限公司,Huanglu Turtle Farm in Luquan District,Hebei,,,,,,,,,,,
邯郸市鑫垚农业科技有限公司,"Handan Xinyao Agricultural Technology Co., Ltd",Hebei,,,,,,,,,,,
秦皇岛启民水产养殖有限公司,"Qinhuangdao Qimin Aquaculture Co., Ltd.",Hebei,Qinhuangdao Qimin Aquaculture Company Limited,"September 07, 2024",,,"""CHEN Qimin"" (2009-2025: 0.6); ""CHEN Qijun"" (2009-2025: 0.4)",Cangli Jiayin County Bank Company Limited:0.1,CHEN Qimin:0.6; CHEN Qijun:0.4,CHEN Qimin:0.6; CHEN Qijun:0.4,Qinhuangdao Qimin Aquaculture Company Limited::498000:2024-07-25; Qinhuangdao Qimin Aquaculture Company Limited:Fishery Enhancement Project:498000:2024-07-24,,/pdfs/Qinhuangdao Qimin Aquaculture Company Limited.pdf
昌黎县振利水产养殖有限公司,"Changli Zhenli Aquaculture Co., Ltd",Hebei,,,,,,,,,,,
卢龙县永新水产养殖专业合作社,Lulong County Yongxin Aquaculture Professional Cooperative,Hebei,,,,,,,,,,,
唐山市曹妃甸区盛茹水产养殖专业合作社,"Shengru Aquaculture Professional Cooperative, Caofeidian District, Tangshan City",Hebei,,,,,,,,,,,
唐山市曹妃甸区瑞达水产养殖专业合作社,"Ruida Aquaculture Professional Cooperative in Caofeidian District, Tangshan City",Hebei,,,,,,,,,,,
乐亭县马头营龙翔水产品养殖场,Lotting County Matouying Longxiang Aquaculture Farm,Hebei,,,,,,,,,,,
阜平县鲜友水产养殖场,Fuxing County Friends Aquaculture Farm,Hebei,,,,,,,,,,,
平山县冀兴水产养殖专业合作社,"Professional Cooperative of Jixing Aquaculture, Pingshan County",Hebei,,,,,,,,,,,
怀来浩海养殖专业合作社,Huailai Haohai Breeding Professional Cooperative,Hebei,,,,,,,,,,,
忻州市忻府区银泽鱼业养殖专业合作社,"Yinze Fish Industry Breeding Professional Cooperative, Xinfu District, Xinzhou City",Shanxi,,,,,,,,,,,
山西尼尔曼农牧业发展有限公司,"Shanxi Nilman Agriculture and Animal Husbandry Development Co., Ltd",Shanxi,,,,,,,,,,,
侯马市水林水产品养殖专业合作社,Houma City Shuilin aquaculture professional cooperative,Shanxi,,,,,,,,,,,
山西省水产育种养殖科学实验中心,Shanxi Province Aquatic Breeding and Breeding Science Experimental Center (affiliated to aquaculture farms),Shanxi,,,,,,,,,,,
额尔古纳市黑山头大泽天然鱼繁育场,Heishantou Daze Natural Fish Breeding Farm in Erguna City,Inner Mongolia,,,,,,,,,,,
内蒙古挨文水产养殖有限公司,"Inner Mongolia Yiwen Aquaculture Co., Ltd",Inner Mongolia,,,,,,,,,,,
托克托县绿纯养殖专业合作社,Toto County Green Pure Breeding Professional Cooperative,Inner Mongolia,,,,,,,,,,,
乌拉特前旗新安镇辛六养殖厂,"Xin'an Six Breeding Plant in Xin'an Town, Ulatqian",Inner Mongolia,,,,,,,,,,,
乌拉特前旗新安福源海农贸养殖专业合作社,Urart Qianqi Banner Xin'an Fuyuan Sea Farmers Trade Professional Cooperative,Inner Mongolia,,,,,,,,,,,
五原县一帆生态园农民专业合作社,"Farmer Professional Cooperative, Yifan Ecological Park, Wanyuan County",Inner Mongolia,,,,,,,,,,,
临河区白脑包镇渔角农业水产专业合作社,Fisheries Agricultural Aquatic Aquatic Society of Fisheries Agricultural Aquatic Aquatic Aquatic Aquatic Aquatic Aquatic Aquatic Aquatic Aquatic Aquatic Aquatic Aquatic Aquarium,Inner Mongolia,,,,,,,,,,,
临河区运久农民专业合作社,Linghe District Yunjiu Farmers Professional Cooperative,Inner Mongolia,,,,,,,,,,,
丰镇市张月明水产养殖专业合作社,Zhangyueming Aquaculture Professional Cooperative,Inner Mongolia,,,,,,,,,,,
杭锦后旗郝五平水产专业合作社,Hangjin Houqi Hao Wuding Aquatic Professional Cooperative,Inner Mongolia,,,,,,,,,,,
多伦县细鳞水产养殖专业合作社,Duolun County fine -scale aquaculture professional cooperative,Inner Mongolia,,,,,,,,,,,
磴口县金马湖生态养殖专业合作社,Professional Cooperative,Inner Mongolia,Changle Watermelon Professional Cooperative Association,"November 24, 2024",,,,Changle County Honghe Town Farmers Specialized Cooperative Union:; Changle County Nanhao Farmers Professional Cooperative Union:,Changle County Xingke Agricultural Technology Service Professional Cooperative:0.16667; Changle County Longhe Fruit And Vegetable Professional Cooperative:0.16667; Changle County Fertilizer Association:0.16667; Changle County Nonglide Agricultural Cooperative Union:0.16667; Changle County Agricultural Technology Extension Association:0.08334; Changzi County Chizi Melon Professional Cooperative:0.075; Changde County Quande Fruit And Vegetable Professional Cooperative:0.075; Changle County Nanhao Farmers Professional Cooperative Union:0.03334; Farmers' Professional Cooperative Union Of Jiazhen Town Changle County:0.03334; Changle County Honghe Town Farmers Specialized Cooperative Union:0.03334,Changle County Fertilizer Association:0.167; Changle County Xingke Agricultural Technology Service Professional Cooperative:0.167; Changle County Nonglide Agricultural Cooperative Union:0.167; Changle County Agricultural Technology Extension Association:0.083; Changle County Dazhaike Supply And Marketing Cooperative:0.007; Changle County Nonglide Agricultural Cooperative:0.007; DONG Shuzhen:0.003; Changle Watermelon Professional Cooperative:0.003; Changle County Zhenmin Fruit And Vegetable Professional Cooperative:0.002,,,/pdfs/Changle Watermelon Professional Cooperative Association.pdf
绥中县蓝海金湾休闲渔业有限公司,"Suizhong County Blue Ocean Jinwan Leisure Fishery Co., Ltd",Liaoning,,,,,,,,,,,
盘山县绿展种养殖专业合作社,Panshan County Green Exhibition Professional Cooperative (Integrated Rice and Fishing Comprehensive Cultivation),Liaoning,,,,,,,,,,,
宽甸满族自治县大西岔镇北江村英富渔场,"Yingfu Fisheries, Beijiang Village, Western, West, West, West, Manchuria Autonomous County",Liaoning,,,,,,,,,,,
营口兰旗参贝养殖园区,Yingkou Lanqi Ginseng Breeding Park,Liaoning,,,,,,,,,,,
兴城市大润水产养殖有限公司,"Xingcheng Darun Aquaculture Co., Ltd",Liaoning,,,,,,,,,,,
建昌县水柳佛山淡水鱼养殖专业合作社,Jianchang County Shuiliu Foshan Freshwater Fish Breeding Professional Cooperative,Liaoning,,,,,,,,,,,
葫芦岛市连山区虹螺鑫淼养殖有限公司,"Huludao Lianshan District Hongluo Xinmiao Breeding Co., Ltd",Liaoning,,,,,,,,,,,
沈阳市维民淡水鱼养殖专业合作社,Shenyang Victoria Freshwater Fish Breeding Professional Cooperative,Liaoning,,,,,,,,,,,
沈阳市辽中区珍帝淡水鱼养殖专业合作社,Professional Cooperative of Zhendi Freshwater Fish Breeding in Liaozhong County,Liaoning,,,,,,,,,,,
新民市龙鹏淡水鱼养殖专业合作社,Xinmin City Longpeng Freshwater Fish Breeding Professional Cooperative,Liaoning,,,,,,,,,,,
大洼县宏晟水产养殖专业合作社,Dawa County Hongsheng Aquaculture Professional Cooperative,Liaoning,,,,,,,,,,,
北票市龙潭水库管理处,Longtan Reservoir Management Office of Beixuan (affiliated to aquaculture),Liaoning,,,,,,,,,,,
舒兰市亮甲山水库管理中心,Shulan Liangjia Mountain Reservoir Management Center (affiliated to aquaculture farms),Jilin,,,,,,,,,,,
舒兰市太平水库管理中心,Shulan Taiping Reservoir Management Center (affiliated to aquaculture farms),Jilin,,,,,,,,,,,
东辽县聚龙潭水库管理中心,Dongliao County Julongtan Reservoir Management Center (affiliated to aquaculture farms),Jilin,,,,,,,,,,,
梅河口市天赋淡水鱼养殖专业合作社,Meihekou Talent Freshwater Fish Breeding Professional Cooperative,Jilin,,,,,,,,,,,
镇赉县泽源水产养殖专业合作社,Zhenxian County Zeyuan Aquaculture Professional Cooperative,Jilin,,,,,,,,,,,
镇赉县惠华农业种植农民专业合作社,Huihua Agricultural Planting Farmers Professional Cooperative (Aquaculture Farm),Jilin,,,,,,,,,,,
镇赉县五棵树镇南菜园家庭农场,"Nanyu Garden Family Farm, Wushu Town, Zhenxian County",Jilin,,,,,,,,,,,
镇赉县东旭种植养殖农民专业合作社,Tongxian County Dongxu Planting and Peasant Professional Cooperative,Jilin,,,,,,,,,,,
德惠市后山种植养殖专业合作社,Dehui City Houshan Planting and Breeding Professional Cooperative,Jilin,,,,,,,,,,,
德惠市龙翔渔业生产专业合作社,Dehui Longxiang Fisheries Production Professional Cooperative,Jilin,,,,,,,,,,,
德惠市刘忠松种植养殖专业合作社,Dehui City Liu Zhongsong Planting and Breeding Professional Cooperative,Jilin,,,,,,,,,,,
德惠市夏家店街道剑波水产养殖场,Dehui City Xiajiadian Street Jianbo Aquaculture Farm (formerly Dehui Jianbo Breeding Professional Cooperative),Jilin,,,,,,,,,,,
巴彦县双发生态鱼种场,Bayan County double -hair ecological fish breeding field,Heilongjiang,,,,,,,,,,,
木兰县东风水库渔业家庭农场,Mulan County Dongfeng Reservoir Fisheries Farm Farm,Heilongjiang,,,,,,,,,,,
铁锋区查罕诺养鱼场,Chafeng District Chahannuo Fish Farm,Heilongjiang,,,,,,,,,,,
鸡西市震达兴凯湖大白鱼养殖专业合作社,Jixi City Zhenda Xingkai Lake Big White Fish Breeding Professional Cooperative,Heilongjiang,,,,,,,,,,,
哈尔滨市阿城区双丰志诚养鱼专业合作社,Harbin Acheng District Shuangfeng Zhicheng Fish Professional Cooperative,Heilongjiang,,,,,,,,,,,
昂昂溪区长发水产养殖场,Aquarius farm in Angangxi District Mayor,Heilongjiang,,,,,,,,,,,
汤原县竹帘镇不老泉部落鱼业养殖场,"Tongyuan County Zhu Curtain Town, Bao Laoquan Tribe Fish Industry Farm Barry Farm",Heilongjiang,,,,,,,,,,,
宝清县万金养鱼专业合作社,Baoqing County Wanjin Fish Fish Professional Cooperative,Heilongjiang,,,,,,,,,,,
绥化市北林区赵家泡渔场,"Zhaojiabao fishing ground in Beilin District, Suihua City",Heilongjiang,,,,,,,,,,,
黑河市爱辉区西沟冷川养殖基地,"Lengchuan Breeding Base in Xigou, Aihui District, Heihe City",Heilongjiang,,,,,,,,,,,
齐齐哈尔嘉世源生态农业开发有限公司,"Qiqihar Jiashiyuan Ecological Agriculture Development Co., Ltd",Heilongjiang,Qiqihar Jiashiyuan Ecological Agriculture Development Company Limited,"September 05, 2023",,,,Qiqihar Jiashiyuan Wine Company Limited:0.5,LIU Qingjun:0.35; LIU Wei:0.325; ZHAO Bin:0.325,LIU Qingjun:0.35; ZHAO Bin:0.325; LIU Wei:0.325,,,/pdfs/Qiqihar Jiashiyuan Ecological Agriculture Development Company Limited.pdf
上海嘉定工业区虬桥村民委员会,Shanghai Jiading Industrial Zone Qiaoqiao Villager Committee (affiliated to aquaculture farms),Shanghai,,,,,,,,,,,
上海市嘉定区马陆镇大裕水产养殖场,"Dadu Town, Malu Town, Jiading District, Shanghai",Shanghai,,,,,,,,,,,
上海昆秀水产专业合作社,Shanghai Kunxiu Aquatic Professional Cooperative,Shanghai,,,,,,,,,,,
上海泰捷水产养殖专业合作社,Shanghai Taijie Aquaculture Professional Cooperative,Shanghai,,,,,,,,,,,
上海惠信水产养殖专业合作社,Shanghai Huixin Aquaculture Professional Cooperative,Shanghai,,,,,,,,,,,
上海翔盛水产养殖专业合作社,Shanghai Xiangsheng Water Production Breeding Professional Cooperative,Shanghai,,,,,,,,,,,
上海廊下水产专业合作社,Shanghai Corridor Professional Cooperative,Shanghai,,,,,,,,,,,
上海浦东渔缘水产养殖专业合作社,Shanghai Pudong Yuyuan Aquaculture Professional Cooperative,Shanghai,,,,,,,,,,,
上海歆音水产养殖专业合作社,Shanghai Yinyin Aquaculture Professional Cooperative,Shanghai,,,,,,,,,,,
上海傲天水产养殖专业合作社,Shanghai Ausky Aquaculture Professional Cooperative,Shanghai,,,,,,,,,,,
上海玉叶虾业养殖专业合作社,Shanghai Yuye shrimp industry breeding professional cooperative (Santuan Village breeding field),Shanghai,,,,,,,,,,,
上海泖河水产品专业合作社,Shanghai Luohe Aquatic Product Professional Cooperative (West Baiyang Barry Farm),Shanghai,,,,,,,,,,,
上海联腾农家乐专业合作社,Shanghai Lianteng Nongjiale Professional Cooperative (Hongqi Village breeding field),Shanghai,,,,,,,,,,,
上海宝岛水产养殖专业合作社,Shanghai Baodao Aquaculture Professional Cooperative,Shanghai,Shanghai Baodao Aquaculture Professional Cooperative,"January 29, 2024",,,,,Shanghai Baodao Crab Industry Company Limited:0.74075; YU Fei:0.06667; ZHANG Chunbin:0.05556; SHEN Bin:0.05556; ZHANG Chunhui:0.03704; YANG Wei:0.00741; SHENG Bin:0.00741; SHEN Hongqiu:0.00741; ZHOU Weisheng:0.00741; HUANG Jingxian:0.00741; GAO Qin:0.00741,HUANG Chun:0.667; ZHANG Chunbin:0.13; YU Fei:0.067; SHEN Bin:0.056; ZHANG Chunhui:0.037; ZHOU Weisheng:0.007; GAO Qin:0.007; SHENG Bin:0.007; HUANG Jingxian:0.007; SHEN Hongqiu:0.007; YANG Wei:0.007,,,/pdfs/Shanghai Baodao Aquaculture Professional Cooperative.pdf
南京市江宁区先海垂钓服务中心,"Xianhai Fishing Service Center, Jiangning District, Nanjing (affiliated to aquaculture farms)",Jiangsu,,,,,,,,,,,
南京市江宁区宁桥水产养殖中心,"Ningqiao Aquaculture Center, Jiangning District, Nanjing",Jiangsu,,,,,,,,,,,
南京市江宁区鹤峰生态休闲园,"Hefeng Ecological Leisure Park, Jiangning District, Nanjing (affiliated to aquaculture farms)",Jiangsu,,,,,,,,,,,
南京市江宁区宝珍家庭农场,"Baozhen Family Farm, Jiangning District, Nanjing",Jiangsu,,,,,,,,,,,
南京顺意生态农业有限责任公司,"Nanjing Shunyi Ecological Agricultural Co., Ltd. (affiliated to aquaculture farms)",Jiangsu,,,,,,,,,,,
南京市江宁区荣新水产养殖家庭农场,"Rongxin Aquaculture Family Farm, Jiangning District, Nanjing",Jiangsu,,,,,,,,,,,
南京市江宁区许仕斌水产养殖家庭农场,"Xu Shibin, Jiangning District, Nanjing City, Xu Shibin Aquaculture Family Farm",Jiangsu,,,,,,,,,,,
南京市江宁区子枫家庭农场,"Zifeng Family Farm, Jiangning District, Nanjing",Jiangsu,,,,,,,,,,,
南京市江宁区明盛农业种植家庭农场,"Mingsheng Agricultural Planting Family Farm, Jiangning District, Nanjing",Jiangsu,,,,,,,,,,,
南京市江宁区陈绍敏水产养殖家庭农场,"Chen Shaomin, Jiangning District, Nanjing City, Chen Shaomin Aquaculture Family Farm",Jiangsu,,,,,,,,,,,
南京海亿嘉水产养殖专业合作社,Nanjing Haiyi Jiashui Maternity Travel Professional Cooperative,Jiangsu,,,,,,,,,,,
南京市江宁区定海果谷蔬种植家庭农场,Family Family Family Family Family Family Family Family Family Family Family Family Farm,Jiangsu,,,,,,,,,,,
南京顺鹏现代农业发展有限公司,"Nanjing Shunpeng Modern Agricultural Development Co., Ltd. (affiliated to aquaculture farms)",Jiangsu,,,,,,,,,,,
南京市江宁区雨林家庭农场,"Forest Family Farm, Jiangning District, Nanjing City",Jiangsu,,,,,,,,,,,
南京市江宁区俞盖家庭农场,"Yu Gai Family Farm, Jiangning District, Nanjing",Jiangsu,,,,,,,,,,,
南京市浦口区永宁街道大桥社区居民委员会,Nanjing Pukou District Yongning Street Bridge Bridge Community Resident Committee (affiliated to aquaculture farms,Jiangsu,,,,,,,,,,,
南京苏康生态农业有限公司,"Nanjing Sukang Ecological Agriculture Co., Ltd",Jiangsu,,,,,,,,,,,
南京市六合区乐鲜活水产养殖专业合作社,"Liexian Aquaculture Professional Cooperative, Liuhe District, Nanjing",Jiangsu,,,,,,,,,,,
南京市六合区水恋树养殖中心,Nanjing Liuhe District Shui Lianshu Breeding Center,Jiangsu,,,,,,,,,,,
南京绿航生态农业有限公司,"Nanjing Green Aviation Ecological Agriculture Co., Ltd",Jiangsu,,,,,,,,,,,
南京市溧水区廷洪家庭农场,"Tinghong Family Farm, Lishui District, Nanjing",Jiangsu,,,,,,,,,,,
高淳县漆桥镇后皋水产养殖专业合作社,"Houyi Aquaculture Professional Cooperative in Qiqiao Town, Gaochun County",Jiangsu,,,,,,,,,,,
南京市高淳区和丰园生态水产养殖专业合作社,Nanjing Gaochun District and Fengyuan Ecological Aquaculture Professional Cooperative,Jiangsu,,,,,,,,,,,
高淳县义保水产品专业合作社,Professional Cooperative of Yijiao Water Products in Gaochun County,Jiangsu,,,,,,,,,,,
高淳县韩桥水产养殖专业合作社,Gaochun County Hanqiao Aquaculture Professional Cooperative,Jiangsu,,,,,,,,,,,
宜兴群新家庭农场,Yixing Group New Family Farm,Jiangsu,,,,,,,,,,,
无锡龙巢生态农业科技有限公司,"Wuxi Longchao Ecological Agriculture Technology Co., Ltd",Jiangsu,,,,,,,,,,,
溧阳市社渚沈荣平家庭农场,"Shen Rongping Family Farm, Society, Puyang City",Jiangsu,,,,,,,,,,,
溧阳市南渡红根水产养殖家庭农场,"Family Family Family Farm, Nantu Red root Aquaculture Family Family Family Family Family Family",Jiangsu,,,,,,,,,,,
常州市金坛万叶水产专业合作社,Changzhou Jindan Wanye Aquatic Professional Cooperative,Jiangsu,,,,,,,,,,,
江苏长湖农业科技有限公司,"Jiangsu Changhu Agricultural Technology Co., Ltd",Jiangsu,,,,,,,,,,,
金坛区指前镇胜利田祥水产养殖场,Jintan City refers to the former Shengli Tianxiang aquaculture farm,Jiangsu,,,,,,,,,,,
金坛区直溪草滩家庭农场,Naoxi Caitan Family Farm in Jintan District,Jiangsu,,,,,,,,,,,
金坛区建昌春祥水产养殖家庭农场,Jianchang Chunxiang Aquaculture Family Farm,Jiangsu,,,,,,,,,,,
武进区湟里薛留平水产养殖场,"Xue Liuping aquaculture farm in Wujin District, Wujin District",Jiangsu,,,,,,,,,,,
武进区前黄马瑛家庭农场,Yellow Ma Ying Family Farm in front of Wujin District,Jiangsu,,,,,,,,,,,
如东吉米生态农场,Such as East Jimmy Ecological Farm,Jiangsu,,,,,,,,,,,
淮阴区涛涛家庭农场,Huaiyin District Tao Tao Family Farm (Cultivation of River Fishing Comprehensive species),Jiangsu,,,,,,,,,,,
江苏银宝集团农业发展有限公司,"Jiangsu Province Fastern Fisheries Industry Co., Ltd. (affiliated to aquaculture farms)",Jiangsu,,,,,,,,,,,
宝应县里下河土产品产销专业合作社,"Professional Cooperative of Lowerheku Products in Lixiahe County, Baoying County",Jiangsu,,,,,,,,,,,
宝应县泽润特种水产养殖专业合作社,Baoying County Zerun Special Aquaculture Professional Cooperative,Jiangsu,,,,,,,,,,,
扬州市神居阁水产养殖专业合作社,Yangzhou Shenju Pavilion Aquaculture Professional Cooperative,Jiangsu,,,,,,,,,,,
扬州桃花岛水产养殖专业合作联社,Yangzhou Taohua Island Aquaculture Professional Cooperative,Jiangsu,,,,,,,,,,,
丹阳市司徒镇雨禾家庭农场,"Yuhe Family Farm, Situ Town, Danyang City",Jiangsu,,,,,,,,,,,
丹阳市延陵镇马明特种水产家庭农场,"Ma Ming Special Aquatic Family Farm, Yanling Town, Danyang City",Jiangsu,,,,,,,,,,,
句容市茅山风景区志满家庭农场,"Zhiman Family Farm, Maoshan Scenic Area, Jurong City",Jiangsu,,,,,,,,,,,
句容市天王镇山乡缘家庭农场,Rongwang Town Rural Family Farm,Jiangsu,,,,,,,,,,,
江苏苏渔水产科技有限公司,"Suqian Suyu and Water Products Technology Co., Ltd. (affiliated to aquaculture farms)",Jiangsu,,,,,,,,,,,
泗洪县陈圩乡大王村土地股份合作社,"Land Co., Ltd. of Daowang Village, Chenyu Township, Sihong County, Sihong County",Jiangsu,,,,,,,,,,,
溧阳市保华特种水产养殖专业合作社,Baohua Special Aquaculture Professional Cooperative,Jiangsu,,,,,,,,,,,
淮安市淮安区射阳湖水产品专业合作社,"Huai'an City, Huai'an District, Huai'an District",Jiangsu,,,,,,,,,,,
阜宁县富民水产品养殖专业合作社,Funing County Fumin aquaculture Professional Cooperative,Jiangsu,,,,,,,,,,,
泗洪县程老四水产养殖专业合作社,Sihong County Cheng Laosi Aquaculture Professional Cooperative,Jiangsu,,,,,,,,,,,
杭州萧山天潮水产养殖有限公司,"Hangzhou Xiaoshan Tianchao Aquaculture Co., Ltd.",Zhejiang,Hangzhou Xiaoshan Tianchao Aquaculture Company Limited,"December 08, 2024",,,"""Hangzhou Chuangnong Food Company Limited"" (2017: 0.9, 2018: 0.9, 2001-2016: 0.9, 2019-2025: 0.9); ""YANG Zugen"" (2017: 0.1, 2018: 0.1, 2001-2016: 1, 2019-2025: 0.1); ""YANG Wenjuan"" (2017: 0.1, 2018: 0.1, 2001-2016: 0.1); ""YANG Wenqin"" (2017: 0.1, 2001-2016: 0.1)",Hangzhou Xiaoshan Lvli Metal Surface Treatment Company Limited:0.875; Hangzhou Tianhai Jingke Fisheries Research Company Limited:0.51; Hangzhou Intercontinental Food Company Limited:0.49; Hangzhou Qiandaohu Xunlong Sci-Tech Company Limited:0.0261; Hangzhou Lianzhong P. Vannamei Cooperative:,Hangzhou Chuangnong Food Company Limited:0.9; YANG Zugen:0.1,YANG Wenjuan:0.9; YANG Zugen:0.1,,,/pdfs/Hangzhou Xiaoshan Tianchao Aquaculture Company Limited.pdf
乐清市南美水产养殖专业合作社,Yueqing South American Aquaculture Professional Cooperative,Zhejiang,,,,,,,,,,,
苍南县中弟养殖专业合作社,Cangnan County Central Brother breeding professional cooperative,Zhejiang,,,,,,,,,,,
南浔祥哥家庭农场,Nanxun Xiang Brother Family Farm,Zhejiang,,,,,,,,,,,
绍兴市丰升水产专业合作社,Shaoxing Fengsheng Aquatic Professional Cooperative,Zhejiang,,,,,,,,,,,
浙江清湖控股集团有限公司,"Zhejiang Qinghu Holding Group Co., Ltd. (affiliated to aquaculture farms)",Zhejiang,,,,,,,,,,,
江山市溪坑家庭农场,"Xikeng Family Farm, Jiangshan City",Zhejiang,,,,,,,,,,,
常山县曾天家庭农场,Changshan County Zengtian Farm Farm,Zhejiang,,,,,,,,,,,
岱山县仙鹤潭水产养殖专业合作社,Professional Cooperative of Xianhetan Aquaculture in Xianhetan County,Zhejiang,,,,,,,,,,,
龙游万康清水鱼专业合作社,Longyou Wankang Waterfish Professional Cooperative,Zhejiang,,,,,,,,,,,
舟山市新城雄立水产养殖专业合作社,Zhoushan Dinghai Huikang Aquaculture Professional Cooperative,Zhejiang,,,,,,,,,,,
庐江县石头镇何坝家庭农场,"Heba Family Farm, Shitou Town, Lujiang County",Anhui,,,,,,,,,,,
淮北市杜集区文勇水产专业合作社,"Wenyong Aquarium Professional Cooperative, Duji District, Huaibei City",Anhui,,,,,,,,,,,
安徽有机良庄农业科技股份有限公司,"Anhui Organic Liangzhuang Agricultural Technology Co., Ltd. (affiliated to aquaculture farms)",Anhui,,,,,,,,,,,
太和县宫集镇显昭养殖专业合作社,"Xianzhao Breeding Professional Cooperative (Aquaculture Farm) in Gongji Town, Taihe County",Anhui,,,,,,,,,,,
阜阳市颍东区仙阳养殖专业合作社,"Xianyang Breeding Professional Cooperative, Yingdong District, Fuyang City (affiliated to aquaculture farms)",Anhui,,,,,,,,,,,
颍上县周磊千亩水产专业合作社,Zhou Lei County Zhou Lei Qian acres of aquatic professional cooperatives,Anhui,,,,,,,,,,,
寿县安丰镇辉翔水稻种植家庭农场,"Family Family Family Family Family Family Family Farm Family Farm, Anfeng Town, Shouxian County",Anhui,,,,,,,,,,,
寿县堰口镇士龙养殖家庭农场,"Shilong Breeding Family Farm, Yankou Town, Shouxian County",Anhui,,,,,,,,,,,
寿县恩平甲鱼养殖专业合作社,Shouxian Enping Turtle Professional Cooperative,Anhui,,,,,,,,,,,
定远县老八水产养殖家庭农场,Dingyuan County Laoba Aquaculture Family Farm,Anhui,,,,,,,,,,,
霍邱县官塘水产养殖专业合作社,Huoqiu County Guantang Aquaculture Professional Cooperative,Anhui,,,,,,,,,,,
霍邱县花园镇农合畜牧水产养殖家庭农场,Huoqiu County Garden Town Gonghe Animal Husbandry Aquaculture Family Farm,Anhui,,,,,,,,,,,
六安市金安区精诚阳农业专业合作社,"Chengcheng Chengyang Agricultural Professional Cooperative (Aquaculture Farm), Jin'an District, Liu'an City",Anhui,,,,,,,,,,,
和县金枝种植家庭农场,Hexian Jinzhi planting family farm (affiliated to aquaculture farms),Anhui,,,,,,,,,,,
当涂县永康水产养殖专业合作社,Dangdang Yongkang Aquaculture Professional Cooperative,Anhui,,,,,,,,,,,
贵池区世外胜梅家庭农场,Guichi District World Shengmei Family Farm,Anhui,,,,,,,,,,,
东至县盈盛鱼苗家庭农场,East to County Yingsheng Fish Family Farm,Anhui,,,,,,,,,,,
安庆市宜秀区白水宕水产养殖专业合作社,"Professional Cooperative in Baishui Dang Aquaculture, Yixiu District, Anqing City",Anhui,,,,,,,,,,,
安庆市海阳农业科技有限公司,"Anqing Haiyang Agricultural Technology Co., Ltd",Anhui,,,,,,,,,,,
桐城市新渡镇锦旺家庭农场,"Jinwang Family Farm, Xindu Town, Tongcheng",Anhui,,,,,,,,,,,
安徽省普济圩现代农业集团有限公司,"Anhui Province Puji Modern Agricultural Group Co., Ltd.",Anhui,,,,,,,,,,,
霍邱县荣芳稻虾种养殖专业合作社,Huoqiu County Rongfang River and shrimp breeding professional cooperative (rice and fishing comprehensive species),Anhui,,,,,,,,,,,
长丰县造甲乡锐丰家庭农场,Changfeng County Zijia Township Ruifeng Family Farm (Cultivation of Comprehensive River Fishing Comprehensive Species),Anhui,,,,,,,,,,,
安徽美源生态农业科技发展有限公司,"Anhui Meiyuan Ecological Agriculture Technology Development Co., Ltd",Anhui,,,,,,,,,,,
安徽省黄淮甲鱼良种繁育有限公司,"Anhui Huanghuai turtle breeding Co., Ltd.",Anhui,,,,,,,,,,,
颍上县八里河四大家鱼苗种繁育有限公司,"Yingshang Balihe Sijiayu Larvae Breeding Co., Ltd",Anhui,,,,,,,,,,,
来安县科兴生态养殖专业合作社,Lai'an County Kexing Ecological Breeding Professional Cooperative (affiliated to aquaculture farms),Anhui,,,,,,,,,,,
全椒县管坝民族村综合养殖专业合作社,Quanjiao County Guanba Ethnic Village Comprehensive Breeding Professional Cooperative (Aquatic Farm in Aquaculture),Anhui,,,,,,,,,,,
当涂县顺达水产养殖专业合作社,Dangdang Shuangda Shunda Aquaculture Professional Cooperative,Anhui,,,,,,,,,,,
